Player,Salary,Salary Status Code,Salary Status Message,Year,Level,Is Top Player
"Bruce, Jay",12541667,GOOD,Salary was parsed,2016,MLB,True
"Bryant, Kris",507500,GOOD,Salary was parsed,2016,MLB,False
"Buchanan, David",507500,GOOD,Salary was parsed,2016,MLB,False
"Buchholz, Clay",13000000,GOOD,Salary was parsed,2016,MLB,True
"Buchter, Ryan",507500,GOOD,Salary was parsed,2016,MLB,False
"Bumgarner, Madison",9950000,GOOD,Salary was parsed,2016,MLB,False
"Bundy, Dylan",507500,GOOD,Salary was parsed,2016,MLB,False
"Burawa, Danny",507500,GOOD,Salary was parsed,2016,MLB,False
"Burgos, Enrique",507500,GOOD,Salary was parsed,2016,MLB,False
"Burns, Billy",507500,GOOD,Salary was parsed,2016,MLB,False
"Butera, Drew",1162500,GOOD,Salary was parsed,2016,MLB,False
"Butler, Billy",11666667,GOOD,Salary was parsed,2016,MLB,True
"Butler, Eddie",507500,GOOD,Salary was parsed,2016,MLB,False
"Butler, Joey",,NONE,No salary value was present,2016,MLB,False
"Buxton, Byron",507500,GOOD,Salary was parsed,2016,MLB,False
"Cabrera, Asdrubal",8250000,GOOD,Salary was parsed,2016,MLB,False
"Cabrera, Mauricio",507500,GOOD,Salary was parsed,2016,MLB,False
"Cabrera, Melky",14000000,GOOD,Salary was parsed,2016,MLB,True
"Cabrera, Miguel",28000000,GOOD,Salary was parsed,2016,MLB,True
"Cabrera, Ramon",507500,GOOD,Salary was parsed,2016,MLB,False
"Cahill, Trevor",4250000,GOOD,Salary was parsed,2016,MLB,False
"Cain, Lorenzo",6500000,GOOD,Salary was parsed,2016,MLB,False
"Cain, Matt",20833333,GOOD,Salary was parsed,2016,MLB,True
"Calhoun, Kole",3400000,GOOD,Salary was parsed,2016,MLB,False
"Caminero, Arquimedes",507500,GOOD,Salary was parsed,2016,MLB,False
"Campbell, Eric",507500,GOOD,Salary was parsed,2016,MLB,False
"Campos, Leonel",507500,GOOD,Salary was parsed,2016,MLB,False
"Campos, Vicente",507500,GOOD,Salary was parsed,2016,MLB,False
"Candelario, Jeimer",507500,GOOD,Salary was parsed,2016,MLB,False
"Canha, Mark",507500,GOOD,Salary was parsed,2016,MLB,False
"Cano, Robinson",24000000,GOOD,Salary was parsed,2016,MLB,True
"Capps, Carter",987500,GOOD,Salary was parsed,2016,MLB,False
"Carpenter, Matt",6500000,GOOD,Salary was parsed,2016,MLB,False
"Carrasco, Carlos",4500000,GOOD,Salary was parsed,2016,MLB,False
"Carrera, Ezequiel",507500,GOOD,Salary was parsed,2016,MLB,False
"Carroll, Scott",507500,GOOD,Salary was parsed,2016,MLB,False
"Carter, Chris",2500000,GOOD,Salary was parsed,2016,MLB,False
"Casali, Curt",507500,GOOD,Salary was parsed,2016,MLB,False
"Cashner, Andrew",7150000,GOOD,Salary was parsed,2016,MLB,False
"Casilla, Santiago",6500000,GOOD,Salary was parsed,2016,MLB,False
"Castellanos, Nick",507500,GOOD,Salary was parsed,2016,MLB,False
"Castillo, Rusney",11271429,GOOD,Salary was parsed,2016,MLB,True
"Castillo, Welington",3700000,GOOD,Salary was parsed,2016,MLB,False
"Castro, Daniel",507500,GOOD,Salary was parsed,2016,MLB,False
"Castro, Jason",5000000,GOOD,Salary was parsed,2016,MLB,False
"Castro, Miguel",507500,GOOD,Salary was parsed,2016,MLB,False
"Castro, Starlin",7857143,GOOD,Salary was parsed,2016,MLB,False
"Cave, Jake",no salary data,NO_SALARY_DATA,'no salary data' was present for the value,2016,MLB,False
